sku,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment,Churn_Status
JNE3771-KR-L,3,10,3420.0,4,3,2,432,9,Champions,Needs Nurturing
JNE3771-KR-M,7,8,2920.0,3,3,2,332,8,Others,Needs Nurturing
JNE3771-KR-S,32,2,692.0,2,1,1,211,4,Others,Needs Nurturing
JNE3771-KR-XL,2,4,1364.0,4,2,1,421,7,Loyal,Retained
JNE3771-KR-XS,5,6,2066.0,3,2,2,322,7,Others,Needs Nurturing
JNE3771-KR-XXL,18,8,2748.0,2,3,2,232,7,Others,Needs Nurturing
JNE3771-KR-XXXL,9,8,2915.0,3,3,2,332,8,Others,Needs Nurturing
JNE3773-KR-L,51,7,1695.0,1,2,2,122,5,At Risk,Churn Likely
JNE3773-KR-M,23,11,3224.0,2,3,2,232,7,Others,Needs Nurturing
JNE3773-KR-S,29,4,1159.0,2,2,1,221,5,Others,Needs Nurturing
JNE3773-KR-XL,10,6,1717.67,3,2,2,322,7,Others,Needs Nurturing
JNE3773-KR-XS,63,2,560.0,1,1,1,111,3,At Risk,Churn Likely
JNE3773-KR-XXL,2,6,1746.67,4,2,2,422,8,Loyal,Retained
JNE3773-KR-XXXL,44,4,1168.67,1,2,1,121,4,At Risk,Churn Likely
JNE3774-KR-M,21,4,1821.0,2,2,2,222,6,Others,Needs Nurturing
JNE3774-KR-S,14,6,2719.0,2,2,2,222,6,Others,Needs Nurturing
JNE3774-KR-XL,29,4,1778.24,2,2,2,222,6,Others,Needs Nurturing
JNE3774-KR-XS,26,3,1372.0,2,1,1,211,4,Others,Needs Nurturing
JNE3774-KR-XXL,37,4,1871.0,1,2,2,122,5,At Risk,Churn Likely
JNE3774-KR-XXXL,13,7,3121.62,2,2,2,222,6,Others,Needs Nurturing
JNE3775-KR-L,1,9,2645.14,4,3,2,432,9,Champions,Needs Nurturing
JNE3775-KR-M,3,15,4499.14,4,3,3,433,10,Champions,Needs Nurturing
JNE3775-KR-S,26,8,2338.0,2,3,2,232,7,Others,Needs Nurturing
JNE3775-KR-XL,1,21,6208.34,4,4,3,443,11,Champions,Needs Nurturing
JNE3775-KR-XS,2,6,1776.0,4,2,2,422,8,Loyal,Retained
JNE3775-KR-XXL,3,13,3838.67,4,3,2,432,9,Champions,Needs Nurturing
JNE3775-KR-XXXL,14,19,5372.0,2,4,3,243,9,Champions,Needs Nurturing
JNE3776-KR-L,45,13,3451.67,1,3,2,132,6,At Risk,Churn Likely
JNE3776-KR-M,13,9,2639.34,2,3,2,232,7,Others,Needs Nurturing
JNE3776-KR-S,9,9,2636.34,3,3,2,332,8,Others,Needs Nurturing
JNE3776-KR-XL,1,14,4172.0,4,3,3,433,10,Champions,Needs Nurturing
JNE3776-KR-XS,45,6,1698.0,1,2,2,122,5,At Risk,Churn Likely
JNE3776-KR-XXL,39,5,1437.67,1,2,2,122,5,At Risk,Churn Likely
JNE3776-KR-XXXL,72,3,837.0,1,1,1,111,3,At Risk,Churn Likely
JNE3777-KR-L,11,5,1770.0,3,2,2,322,7,Others,Needs Nurturing
JNE3777-KR-M,24,3,1047.0,2,1,1,211,4,Others,Needs Nurturing
JNE3777-KR-S,10,1,324.0,3,1,1,311,5,Others,Needs Nurturing
JNE3777-KR-XL,14,7,2333.0,2,2,2,222,6,Others,Needs Nurturing
JNE3777-KR-XS,49,1,324.0,1,1,1,111,3,At Risk,Churn Likely
JNE3777-KR-XXL,9,5,1770.0,3,2,2,322,7,Others,Needs Nurturing
JNE3777-KR-XXXL,12,6,2084.0,3,2,2,322,7,Others,Needs Nurturing
JNE3778-KR-L,9,11,4993.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3778-KR-M,2,12,5496.0,4,3,3,433,10,Champions,Needs Nurturing
JNE3778-KR-S,7,10,4528.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3778-KR-XL,10,11,5021.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3778-KR-XS,23,6,2726.0,2,2,2,222,6,Others,Needs Nurturing
JNE3778-KR-XXL,11,12,5440.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3778-KR-XXXL,3,17,7248.0,4,3,3,433,10,Champions,Needs Nurturing
JNE3779-KR-L,4,8,2748.0,4,3,2,432,9,Champions,Needs Nurturing
JNE3779-KR-M,23,4,1443.52,2,2,2,222,6,Others,Needs Nurturing
